Sehir,Urun,Konum,En_Dusuk,En_Yuksek,Tarih
Adana,DOMATES(ANTALYA),Adana Merkez,60.00,80.00,05.04.2026
Adana,PATATES,Adana Merkez,10.00,13.00,05.04.2026
Adana,SOĞAN(BEYAZ),Adana Merkez,9.00,11.00,05.04.2026
Adana,MARUL(DÜZ),Adana Merkez,40.00,50.00,05.04.2026
Adana,LAHANA(BEYAZ),Adana Merkez,10.00,15.00,05.04.2026
Adana,HAVUÇ(SARI),Adana Merkez,10.00,15.00,05.04.2026
Adana,PORTAKAL,Adana Merkez,20.00,25.00,05.04.2026
Adana,ELMA(GOLDEN),Adana Merkez,50.00,75.00,05.04.2026
Adana,KABAK,Adana Merkez,15.00,30.00,05.04.2026
Adana,FASULYE(TAZE),Adana Merkez,250.00,300.00,05.04.2026
Adana,BAKLA (TAZE),Adana Merkez,35.00,40.00,05.04.2026
Adana,KARPUZ,Adana Merkez,50.00,60.00,05.04.2026
Adana,DEREOTU,Adana Merkez,8.00,13.00,05.04.2026
Adana,ROKA,Adana Merkez,8.00,12.00,05.04.2026
Adana,KARNABAHAR,Adana Merkez,35.00,40.00,05.04.2026
Adana,BROKOLİ,Adana Merkez,50.00,55.00,05.04.2026
Adana,AYVA,Adana Merkez,60.00,90.00,05.04.2026
Adana,MAYDANOZ,Adana Merkez,3.00,6.00,05.04.2026
Adana,ARMUT(DEVECİ),Adana Merkez,60.00,85.00,05.04.2026
Adana,MUZ(ANAMUR),Adana Merkez,50.00,65.00,05.04.2026
Adana,ARMUT ( SANTAMARİA),Adana Merkez,70.00,100.00,05.04.2026
Adana,NAR,Adana Merkez,70.00,80.00,05.04.2026
Adana,NANE,Adana Merkez,5.00,8.00,05.04.2026
Adana,TERE,Adana Merkez,7.00,10.00,05.04.2026
Adana,TURP (FINDIK),Adana Merkez,15.00,20.00,05.04.2026
Adana,TURP (KIRMIZI),Adana Merkez,15.00,20.00,05.04.2026
Adana,TURP(BEYAZ),Adana Merkez,15.00,20.00,05.04.2026
Adana,GREYFURT,Adana Merkez,10.00,15.00,05.04.2026
Adana,ÜZÜM(SİYAH),Adana Merkez,70.00,80.00,29.03.2026
Adana,ÜZÜM(BEYAZ),Adana Merkez,70.00,80.00,29.03.2026
Adana,mandalina (king),Adana Merkez,14.00,18.00,22.03.2026
Adana,PANCAR,Adana Merkez,40.00,50.00,05.04.2026
Adana,MANTAR(KÜLTÜR),Adana Merkez,130.00,150.00,05.04.2026
Adana,KESTANE,Adana Merkez,200.00,250.00,05.04.2026
Adana,BİBER(SİVRİ SERA),Adana Merkez,90.00,110.00,05.04.2026
Adana,BİBER(ÜÇ BURUN KÖY),Adana Merkez,110.00,130.00,05.04.2026
Adana,BİBER(ÇARLİSTON),Adana Merkez,80.00,100.00,05.04.2026
Adana,PATLICAN(KEMER),Adana Merkez,25.00,35.00,05.04.2026
Adana,BİBER ( DOLMALIK ),Adana Merkez,80.00,100.00,05.04.2026
Adana,PATLICAN ( TOPAK ),Adana Merkez,50.00,60.00,05.04.2026
Adana,SÜS BİBERİ (KIRMIZI),Adana Merkez,100.00,120.00,05.04.2026
Adana,PIRASA,Adana Merkez,10.00,15.00,05.04.2026
Adana,LİMON(ENTER),Adana Merkez,40.00,50.00,05.04.2026
Adana,BİBER KAPYA,Adana Merkez,100.00,130.00,05.04.2026
Adana,ISPANAK,Adana Merkez,40.00,50.00,05.04.2026
Adana,MANDALİNA(W WMOURKUT),Adana Merkez,20.00,25.00,05.04.2026
Adana,SALATALIK,Adana Merkez,45.00,55.00,05.04.2026
Adana,SARIMSAK(KURU),Adana Merkez,100.00,120.00,05.04.2026
Ankara,Domates (Kokteyl),Ankara Merkez,120.00,220.00,10.04.2026
Ankara,Biber Dolma,Ankara Merkez,80.00,145.00,10.04.2026
Ankara,Patates (Kumpir),Ankara Merkez,20.00,27.00,10.04.2026
