hal_product,market_product,product_canonical,confidence,unit_conversion_factor,reason
Ispanak,Superfresh Ispanak 450 Gr,ispanak,kg_equivalent,1.0,Ayni urun taze ispanak
Ispanak,Feast Ispanak 450 Gr,ispanak,kg_equivalent,1.0,Ayni urun taze ispanak
Ispanak,Feast Organik Ispanak 450 Gr,ispanak,kg_equivalent,1.0,Ayni urun organik ispanak
Ispanak,Ispanak 1 Kg,ispanak,exact,1.0,Ayni urun ve paket 1 kg
Ispanak,Ispanak 700 Gr,ispanak,kg_equivalent,1.0,Ayni urun farkli paket 700 gr
Ispanak,Eurofresh Ispanak 700 Gr,ispanak,kg_equivalent,1.0,Ayni urun farkli paket 700 gr
Ispanak,Yıkanmış Ispanak 500 Gr,ispanak,kg_equivalent,1.0,Ayni urun yikanmis ispanak
Ispanak,Ispanak Demet 250 Gr,ispanak,kg_equivalent,1.0,Ayni urun farkli paket demet
Karnabahar,Karnabahar 1.5 Kg,karnabahar,kg_equivalent,1.0,Ayni urun farkli paket 1.5 kg
Karnabahar,Karnabahar 1 Kg,karnabahar,exact,1.0,Ayni urun paket 1 kg
Karnabahar,Feast Karnabahar 2.5 Kg,karnabahar,kg_equivalent,1.0,Ayni urun farkli paket 2.5 kg
Havuç,Havuç 1 Kg,havuc,exact,1.0,Ayni urun paket 1 kg
Havuç,Havuç Paket 350 Gr,havuc,kg_equivalent,1.0,Ayni urun farkli paket 350 gr
Domates,Domates Pembe 1 Kg,domates_pembe,exact,1.0,Pembe domates varyete 1 kg
Domates,Pembe Domates 500 Gr,domates_pembe,kg_equivalent,1.0,Pembe domates varyete farkli paket
Domates,Eko Domates 1 Kg,domates_pembe,kg_equivalent,1.0,Eko pembe domates varyete
Domates,Domates 1 Kg,domates_pembe,kg_equivalent,1.0,Genel domates pembe varyete
Pancar,Pancar 1 Kg,pancar,exact,1.0,Ayni urun paket 1 kg
Patates,Patates 1 Kg,patates,exact,1.0,Ayni urun paket 1 kg
Patates,Superfresh Patates 1 Kg,patates,exact,1.0,Ayni urun paket 1 kg
Greyfurt,Greyfurt 1 Kg,greyfurt,exact,1.0,Ayni urun paket 1 kg
Karpuz,Karpuz 1 Kg,karpuz,exact,1.0,Ayni urun paket 1 kg
Ayva,Ayva Kg,ayva,exact,1.0,Ayni urun paket 1 kg
Ayva,Ayva Gurme 1 Kg,ayva,kg_equivalent,1.0,Gurme ayva paket 1 kg
Ayva,Ayva 1 Kg,ayva,exact,1.0,Ayni urun paket 1 kg
Brokoli,Feast Brokoli 500 Gr,brokoli,kg_equivalent,1.0,Ayni urun farkli paket 500 gr
Brokoli,Feast Organik Brokoli 450 Gr,brokoli,kg_equivalent,1.0,Organik brokoli farkli paket 450 gr
Brokoli,Feast Brokoli 70-100 Mm 2.5 Kg,brokoli,kg_equivalent,1.0,Ayni urun farkli paket 2.5 kg
Brokoli,Brokoli 1 Kg,brokoli,exact,1.0,Ayni urun paket 1 kg
Roka,Roka 1 Adet,roka,exact,1.0,Ayni urun paket 1 adet
Roka,Roka 350 Gr,roka,kg_equivalent,1.0,Ayni urun farkli paket 350 gr
Nar,Lavi Nar 400 Gr,nar,kg_equivalent,1.0,Ayni urun farkli paket 400 gr
Nar,Nar 1 Kg,nar,exact,1.0,Ayni urun paket 1 kg
Dereotu,Dereotu 1 Adet,dereotu,exact,1.0,Ayni urun paket 1 adet
Dereotu,Dereotu 1 Demet,dereotu,exact,1.0,Ayni urun paket 1 demet
Portakal,Portakal 1 Kg,portakal,exact,1.0,Ayni urun paket 1 kg
Portakal,Finike Gurme Portakal 1 Kg,portakal,kg_equivalent,1.0,Finike gurme portakal paket 1 kg
Kivi,Kivi 1 Kg,kivi,exact,1.0,Ayni urun paket 1 kg
Kivi,Kivi 250 Gr,kivi,kg_equivalent,1.0,Ayni urun farkli paket 250 gr
Kivi,Kivi İthal 1 Kg,kivi,kg_equivalent,1.0,Ithal kivi paket 1 kg
Kivi,Kivi Paket 500 Gr,kivi,kg_equivalent,1.0,Ayni urun farkli paket 500 gr
Kereviz,Kereviz 1 Kg,kereviz,exact,1.0,Ayni urun paket 1 kg
Kereviz,Kereviz Sapı 250 Gr,kereviz,kg_equivalent,1.0,Kereviz sapi farkli paket 250 gr
Kavun,Kavun 1 Kg,kavun,exact,1.0,Ayni urun paket 1 kg
Kavun,Kırkağaç Kavun 1 Kg,kavun,kg_equivalent,1.0,Kirkagac kavun paket 1 kg
Nane,Nane 1 Adet,nane,exact,1.0,Ayni urun paket 1 adet
Nane,Nane 250 Gr,nane,kg_equivalent,1.0,Ayni urun farkli paket 250 gr
Nane,Nane 1 Kg,nane,exact,1.0,Ayni urun paket 1 kg
Lahana (Beyaz),Beyaz Lahana 1 Kg,lahana_beyaz,exact,1.0,Ayni urun paket 1 kg
Maydanoz,Maydanoz 1 Adet,maydanoz,exact,1.0,Ayni urun paket 1 adet
Maydanoz,Maydanoz Demet 1 Adet,maydanoz,exact,1.0,Ayni urun paket 1 demet
Limon,Limon 1 Kg,limon,exact,1.0,Ayni urun paket 1 kg
Limon,File Limon 1 Kg,limon,kg_equivalent,1.0,Limon file paket 1 kg
Limon,Eko Limon 1 Kg,limon,kg_equivalent,1.0,Eko limon paket 1 kg
Elma (Golden),Golden Elma 1 Kg,elma_golden,exact,1.0,Golden elma varyete 1 kg
Elma (Golden),Golden Elma Atıştırmalık 1 Kg,elma_golden,kg_equivalent,1.0,Golden elma atistirmali paket 1 kg
Elma (Golden),Golden Elma Gurme 1 Kg,elma_golden,kg_equivalent,1.0,Golden elma gurme paket 1 kg
Elma (Golden),Golden Elma Eko 1 Kg,elma_golden,kg_equivalent,1.0,Golden elma eko paket 1 kg
Kabak,Kabak 1 Kg,kabak,exact,1.0,Ayni urun paket 1 kg
Bezelye,Superfresh Bezelye 450 Gr,bezelye,kg_equivalent,1.0,Ayni urun farkli paket 450 gr
Bezelye,Bezelye 1 Kg,bezelye,exact,1.0,Ayni urun paket 1 kg
Bezelye,Feast Organik Bezelye 450 Gr,bezelye,kg_equivalent,1.0,Organik bezelye paket 450 gr
Bezelye,İnci Bezelye 450 Gr,bezelye,kg_equivalent,1.0,Ayni urun farkli paket 450 gr
Bezelye,Superfresh Organik Bezelye 450 Gr,bezelye,kg_equivalent,1.0,Organik bezelye paket 450 gr
Bezelye,Feast Bezelye 2.5 Kg,bezelye,kg_equivalent,1.0,Ayni urun farkli paket 2.5 kg
Bezelye,Superfresh Bezelye 1 Kg,bezelye,exact,1.0,Ayni urun paket 1 kg
Armut (Santamaria),Santa Maria Armut 1 Kg,armut_santa_maria,exact,1.0,Santa maria armut varyete 1 kg
Armut (Santamaria),Armut Santa Maria Gurme 1 Kg,armut_santa_maria,kg_equivalent,1.0,Santa maria armut gurme paket 1 kg
Pırasa,Pırasa 1 Kg,pirasa,exact,1.0,Ayni urun paket 1 kg
Muz (Yerli),Yerli Muz 1 Kg,muz_yerli,exact,1.0,Yerli muz varyete 1 kg
Muz (Yerli),Muz Saksı 1 Adet,muz_yerli,kg_equivalent,1.0,Muz saksi paket 1 adet
Muz (Yerli),Eko Yerli Muz 1 Kg,muz_yerli,kg_equivalent,1.0,Eko yerli muz paket 1 kg
Armut (Deveci),Deveci Armut 1 Kg,armut_deveci,exact,1.0,Deveci armut varyete 1 kg
Armut (Deveci),Armut Deveci 1 Adet,armut_deveci,kg_equivalent,1.0,Deveci armut paket 1 adet
Armut (Deveci),Deveci Armut Gurme 1 Kg,armut_deveci,kg_equivalent,1.0,Deveci armut gurme paket 1 kg
Tere,Tere 1 Adet,tere,exact,1.0,Ayni urun paket 1 adet
Semizotu,Semizotu 1 Adet,semizotu,exact,1.0,Ayni urun paket 1 adet
Semizotu,Semizotu 150 Gr,semizotu,kg_equivalent,1.0,Ayni urun farkli paket 150 gr
Şeftali,Şeftali 1 Kg,seftali,exact,1.0,Ayni urun paket 1 kg
Lahana (Kırmızı),Kırmızı Lahana 1 Kg,lahana_kirmizi,exact,1.0,Kirmizi lahana varyete 1 kg
Çilek,Çilek 1 Kg,cilek,exact,1.0,Ayni urun paket 1 kg
Çilek,Çilek 400 Gr,cilek,kg_equivalent,1.0,Ayni urun farkli paket 400 gr
Çilek,Feast Çilek 400 Gr,cilek,kg_equivalent,1.0,Ayni urun farkli paket 400 gr
Çilek,Çilek 1 Adet,cilek,kg_equivalent,1.0,Ayni urun paket 1 adet
Biber (Sivri),Sivri Biber Paket 300 Gr,biber_sivri,exact,1.0,Sivri biber paket 300 gr
Biber (Sivri),Sivri Biber 1 Kg,biber_sivri,exact,1.0,Sivri biber paket 1 kg
Biber (Sivri),Biber Sivri Gurme 1 Kg,biber_sivri,kg_equivalent,1.0,Sivri biber gurme paket 1 kg
Patlıcan,Patlıcan 1 Kg,patlican,exact,1.0,Ayni urun paket 1 kg
Patlıcan,Tagem Topak Patlıcan 1 Kg,patlican,kg_equivalent,1.0,Topak patlican paket 1 kg
Patlıcan,Bostan Patlıcan 1 Kg,patlican,kg_equivalent,1.0,Bostan patlican paket 1 kg
Patlıcan,Patlıcan Paket 1 Kg,patlican,exact,1.0,Ayni urun paket 1 kg
Elma (Starking),Starking Elma 1 Kg,elma_starking,exact,1.0,Starking elma varyete 1 kg
Elma (Starking),Atıştırmalık Starking Elma 1 Kg,elma_starking,kg_equivalent,1.0,Starking elma atistirmali paket 1 kg
Elma (Starking),Eko Starking Elma 1 Kg,elma_starking,kg_equivalent,1.0,Starking elma eko paket 1 kg
Portakal (Sıkmalık),Portakal Sıkmalık 1 Kg,portakal_sikmalik,exact,1.0,Sikmalik portakal varyete 1 kg
Portakal (Sıkmalık),Sıkmalık Portakal File 1 Kg,portakal_sikmalik,kg_equivalent,1.0,Sikmalik portakal file paket 1 kg
Portakal (Sıkmalık),Finike Gurme Portakal 1 Kg,portakal_sikmalik,kg_equivalent,1.0,Finike portakal sicmalik paket 1 kg
Kiraz,Kiraz 1 Kg,kiraz,exact,1.0,Ayni urun paket 1 kg
Soğan (Kırmızı),Kırmızı Soğan 1 Kg,sogan,exact,1.0,Kirmizi sogan varyete 1 kg
Soğan (Kırmızı),Soğan 1 Kg,sogan,kg_equivalent,1.0,Genel sogan paket 1 kg
Soğan (Kırmızı),Superfresh Soğan 450 Gr,sogan,kg_equivalent,1.0,Superfresh sogan paket 450 gr
Soğan (Kırmızı),Taze Soğan 1 Demet,sogan,kg_equivalent,1.0,Taze sogan demet 1 paket
Marul (Düz),Marul 1 Adet,marul,exact,1.0,Ayni urun paket 1 adet
Marul (Düz),Eurofresh Yıkanmış Yaprak Marul 250 Gr,marul,kg_equivalent,1.0,Yikanmis yaprak marul paket 250 gr
Mandalina,Mandalina 1 Kg,mandalina,exact,1.0,Ayni urun paket 1 kg
Biber Kapya,Kapya Biber 1 Kg,biber_kapya,exact,1.0,Kapya biber varyete 1 kg
Marul (Kıvırcık),Eurofresh Yıkanmış Kıvırcık Marul 150 Gr,marul_kivirik,exact,1.0,Kivirik marul yikanmis paket 150 gr
Marul (Kıvırcık),Kıvırcık 1 Adet,marul_kivirik,exact,1.0,Ayni urun paket 1 adet
Marul (Kıvırcık),Kıvırcık Salata 1 Adet,marul_kivirik,kg_equivalent,1.0,Kivirik salata paket 1 adet
Marul (Kıvırcık),Kıvırcık Demet 1 Adet,marul_kivirik,kg_equivalent,1.0,Kivirik demet paket 1 adet
Marul (Kıvırcık),Eurofresh Yıkanmış Yaprak Marul 250 Gr,marul_kivirik,kg_equivalent,1.0,Yikanmis yaprak marul paket 250 gr
Sarımsak (Kuru),Kuru Sarımsak 1 Paket,sarimsak_kuru,exact,1.0,Kuru sarimsak paket 1 paket
Sarımsak (Kuru),Kuru Sarımsak 1 Kg,sarimsak_kuru,exact,1.0,Kuru sarimsak paket 1 kg
Sarımsak (Kuru),File Sarımsak 200 Gr,sarimsak_kuru,kg_equivalent,1.0,Kuru sarimsak file paket 200 gr
Sarımsak (Kuru),Sarımsak 1 Kg,sarimsak_kuru,kg_equivalent,1.0,Taze sarimsak paket 1 kg
Sarımsak (Kuru),Sarımsak File 250 Gr,sarimsak_kuru,kg_equivalent,1.0,Sarimsak file paket 250 gr
Sarımsak (Kuru),Taze Sarımsak 250 Gr,sarimsak_kuru,kg_equivalent,1.0,Taze sarimsak paket 250 gr
Sarımsak (Kuru),Taşköprü Sarımsak 1 Kg,sarimsak_kuru,kg_equivalent,1.0,Taskoprü sarimsak paket 1 kg
Sarımsak (Kuru),Sarımsak Taze Baş 1 Kg,sarimsak_kuru,kg_equivalent,1.0,Taze sarimsak bas paket 1 kg
Salatalık,Salatalık 1 Kg,salatali_cengelkoy,exact,1.0,Ayni urun paket 1 kg
Salatalık,Çengelköy Salatalık 1 Kg,salatali_cengelkoy,kg_equivalent,1.0,Cengelkoy salatali paket 1 kg
Salatalık,Çengelköy Salatalık 500 Gr,salatali_cengelkoy,kg_equivalent,1.0,Cengelkoy salatali paket 500 gr
Salatalık,Çengel Salatalık Gurme 1 Paket,salatali_cengelkoy,kg_equivalent,1.0,Cengelkoy salatali gurme paket
Salatalık,Eko Salatalık 1 Kg,salatali_cengelkoy,kg_equivalent,1.0,Eko salatali paket 1 kg
Elma (Granny Smith),Granny Smith Elma 1 Kg,elma_granny_smith,exact,1.0,Granny smith elma varyete 1 kg
Elma (Granny Smith),Elma Granny Smith Gurme 1 Kg,elma_granny_smith,kg_equivalent,1.0,Granny smith elma gurme paket 1 kg
Kayısı,Kayısı 1 Kg,kayisi,exact,1.0,Ayni urun paket 1 kg
Domates (Cherry),Cherry Domates 250 Gr,domates_cherry,exact,1.0,Cherry domates varyete 250 gr
Marul (Aysberg),Eurofresh Yıkanmış Yaprak Marul 250 Gr,marul,kg_equivalent,1.0,Yikanmis yaprak marul paket 250 gr
Soğan (Beyaz),Soğan 1 Kg,sogan,exact,1.0,Ayni urun paket 1 kg
Soğan (Beyaz),Superfresh Soğan 450 Gr,sogan,kg_equivalent,1.0,Superfresh sogan paket 450 gr
Soğan (Beyaz),Taze Soğan 1 Demet,sogan,kg_equivalent,1.0,Taze sogan demet 1 paket
Soğan (Beyaz),Soğan Yeni Hasat 1 Kg,sogan,kg_equivalent,1.0,Yeni hasat sogan paket 1 kg
Mantar (Kültür),Mantar Tabak 300 Gr,mantar_kultur,kg_equivalent,1.0,Kultur mantari paket 300 gr
Mantar (Kültür),Mantar 400 Gr,mantar_kultur,kg_equivalent,1.0,Kultur mantari paket 400 gr
Mantar (Kültür),Kültür Mantarı 400 Gr,mantar_kultur,kg_equivalent,1.0,Kultur mantari paket 400 gr
