hal_product,market_product,product_canonical,confidence,unit_conversion_factor,reason
Ispanak,Superfresh Ispanak 450 Gr,ispanak,kg_equivalent,1.0,Ayni urun taze ispanak
Ispanak,Çokça Dondurulmuş Ispanak 450 Gr,ispanak,weak,1.0,Dondurulmus ispanak taze ile farkli islem
Ispanak,Feast Ispanak 450 Gr,ispanak,kg_equivalent,1.0,Ayni urun taze ispanak
Ispanak,Superfresh Dondurulmuş Ispanak 450 Gr,ispanak,weak,1.0,Dondurulmus ispanak taze ile farkli islem
Ispanak,Feast Organik Ispanak 450 Gr,ispanak,kg_equivalent,1.0,Ayni urun organik ispanak
Ispanak,Ispanak 1 Kg,ispanak,exact,1.0,Ayni urun ve paket 1 kg
Ispanak,Ispanak 700 Gr,ispanak,kg_equivalent,1.0,Ayni urun farkli paket 700 gr
Ispanak,Eurofresh Ispanak 700 Gr,ispanak,kg_equivalent,1.0,Ayni urun farkli paket 700 gr
Ispanak,Yıkanmış Ispanak 500 Gr,ispanak,kg_equivalent,1.0,Ayni urun yikanmis ispanak
Ispanak,Ispanak Demet 250 Gr,ispanak,kg_equivalent,1.0,Ayni urun farkli paket demet
Karnabahar,Karnabahar 1.5 Kg,karnabahar,kg_equivalent,1.0,Ayni urun farkli paket 1.5 kg
Karnabahar,Karnabahar 1 Kg,karnabahar,exact,1.0,Ayni urun paket 1 kg
Karnabahar,Feast Renkli Karnabahar 500 Gr,karnabahar,weak,1.0,Renkli karnabahar varyete farki
Karnabahar,Feast Karnabahar 2.5 Kg,karnabahar,kg_equivalent,1.0,Ayni urun farkli paket 2.5 kg
Havuç,Havuç 1 Kg,havuc,exact,1.0,Ayni urun paket 1 kg
Havuç,Havuç Paket 350 Gr,havuc,kg_equivalent,1.0,Ayni urun farkli paket 350 gr
Havuç,Erüst Mini Havuç 1 Adet,havuc,weak,1.0,Mini havuc varyete farki
Havuç,Siyah Havuç 1 Kg,havuc,weak,1.0,Siyah havuc varyete farki
Domates,Domates Pembe 1 Kg,domates_pembe,exact,1.0,Pembe domates varyete 1 kg
Domates,Salkım Domates 1 Kg,domates_salkkim,weak,1.0,Salkkim domates farkli varyete
Domates,Şeker Domates 250 Gr,domates_seker,weak,1.0,Seker domates farkli varyete
Domates,Kokteyl Domates 1 Kg,domates_kokteyl,weak,1.0,Kokteyl domates farkli varyete
Domates,Atıştırmalık Domates 1 Kg,domates_atistirmali,weak,1.0,Atistirmali domates farkli varyete
Domates,Kokteyl Domates 500 Gr,domates_kokteyl,weak,1.0,Kokteyl domates farkli varyete
Domates,Salkım Domates Paket 500 Gr,domates_salkkim,weak,1.0,Salkkim domates farkli varyete
Domates,Pembe Domates 500 Gr,domates_pembe,kg_equivalent,1.0,Pembe domates varyete farkli paket
Domates,Eko Domates 1 Kg,domates_pembe,kg_equivalent,1.0,Eko pembe domates varyete
Domates,Tagem Turuncu Domates 1 Kg,domates_turuncu,weak,1.0,Turuncu domates farkli varyete
Domates,Domates 1 Kg,domates_pembe,kg_equivalent,1.0,Genel domates pembe varyete
Domates,Cherry Domates 250 Gr,domates_cherry,weak,1.0,Cherry domates farkli varyete
Pancar,Soyulmuş Haşlanmış Pancar 500 Gr,pancar,reject,1.0,Islenmis pancar islemci urun
